StudentNo,FirstRegistrationYear,FirstName,Surname,YearOfBirth,MonthOfBirth,DateOfBirth
52160,2017,Becky,Fidele,1959,8,3
51329,2021,Brooks,Elford,1959,10,18
50399,2015,Jud,Huntress,1997,4,3
52766,2020,Charita,Aldous,1996,9,3
51932,2021,Lois,Farquarson,1997,10,22
50084,2017,Ragnar,Esmond,1985,3,28
50681,2020,Allis,Dunbabin,1971,6,6
52286,2021,Saba,Shoesmith,1987,3,21
52424,2021,Brenna,Jakubski,1983,8,11
51428,2015,Wendell,Lope,1962,4,4
52109,2019,Errick,Sussams,1964,11,16
51503,2018,Welsh,Holson,1958,6,13
51152,2017,Anette,Bendall,1999,3,25
50813,2015,Anna-diane,Grinyov,1989,12,10
52235,2021,Gwennie,Keinrat,1969,9,18
51944,2018,Mackenzie,Beardsdale,2005,1,28
50408,2020,Hubert,Mitkov,1970,11,7
52151,2020,Caria,Collomosse,1999,10,9
52397,2015,Boigie,Ilyunin,1999,6,11
52625,2021,Demetre,Sokell,1974,8,18
51146,2021,Joletta,Kruszelnicki,1958,7,21
51743,2021,Bennie,Forrest,2000,7,19
52706,2019,Winnie,Dummett,1986,1,3
52577,2016,Marin,Mulkerrins,1959,7,11
50462,2015,Clara,Lavielle,1956,1,16
51413,2019,Marcel,Baudet,1993,5,7
50588,2015,Rudie,Draco,1976,3,8
51842,2020,Evangeline,Plant,1953,1,26
50303,2015,Emanuel,Bouch,1951,2,4
51236,2021,Osbourn,Maggill'Andreis,1986,12,13
51974,2021,Maxine,Juste,1997,6,2
51416,2016,Godfrey,Furber,1997,8,15
51719,2018,Esdras,Chinery,1963,10,16
52214,2020,Tonya,Elecum,1953,4,3
52748,2015,Kennett,Turville,1966,2,11
52313,2018,Lorilyn,Farfoot,2001,8,18
52556,2017,Erda,Huston,1950,2,14
50759,2017,Tremain,Wardington,1972,12,2
51026,2021,Brett,Gall,1988,10,26
50702,2015,Hamil,Stutte,1993,3,18
52976,2017,Fanechka,Parman,1965,12,11
51098,2021,Abby,Nials,1975,1,16
51674,2015,Colet,Rosencwaig,1997,1,19
50258,2017,Massimo,Tulloch,1981,1,26
50222,2016,Brewster,Gunnell,1956,1,8
51509,2017,Bernarr,Opie,1957,4,25
52943,2015,Steve,Dalloway,1995,2,10
50090,2015,Emera,Shiel,1957,5,22
50525,2015,Susi,Cail,1981,11,27
52079,2021,Wallace,Clampett,1955,1,18
50360,2019,Josefa,Brazener,1993,10,12
52973,2017,Fredrika,Earthfield,1970,11,22
50567,2021,Bessy,Ince,1959,8,18
51068,2017,Silvester,Adds,1977,9,8
51032,2015,Mersey,Tolerton,2000,12,12
52130,2020,Maddy,Courtenay,1972,7,1
52220,2016,Obed,Le Lievre,2005,7,5
52421,2017,Crawford,Mc-Kerley,1995,2,21
50675,2019,Cassaundra,Anfusso,1974,9,17
51857,2021,Bryce,Syvret,1969,2,6
52007,2020,Jose,Freire,1958,9,5
51731,2019,Paulie,Feighney,1998,1,20
52448,2020,Lonee,Oldfield,1968,1,25
52535,2017,Harcourt,Sandon,1989,11,20
51824,2015,Nerti,Male,1978,2,26
51620,2019,Ramsay,Errett,1955,6,1
52031,2021,Wendy,Ferroni,1995,8,5
50009,2019,Cord,Hansana,1960,12,24
50981,2017,Alasteir,Brizell,1963,4,2
50534,2018,Thomas,Kneller,2000,1,15
51539,2018,Thacher,Marmion,1987,3,13
52382,2020,Gwennie,Uman,2005,7,2
51173,2017,Latrina,Gansbuhler,1974,6,22
50468,2017,Gwendolen,West-Frimley,1981,2,21
52628,2016,Farleigh,Gretton,2002,11,22
52733,2017,Loise,Mignot,1995,6,3
50339,2015,Blithe,Crinidge,1959,4,15
52067,2020,Cy,Jerdein,1970,11,17
50807,2017,Alix,Leadbitter,2004,1,17
52253,2021,Codie,Poyner,1968,7,17
51419,2017,Amie,Ranns,1970,9,18
51488,2018,Camile,Surplice,1980,6,8
51749,2021,Sibyl,Kampshell,2004,12,16
50630,2017,Philipa,Casina,1957,9,8
52373,2018,Mychal,Farquhar,2004,7,18
50720,2016,Lacy,Ferrandez,1992,11,27
51158,2016,Glenda,Wayne,1958,10,5
52229,2015,Ferne,Meineken,1993,3,18
51905,2021,Ryun,Horsley,2002,5,24
51296,2021,Nestor,Brownsell,1979,12,17
50159,2016,Nonie,Carous,1993,10,18
52832,2019,Delano,Sanday,1989,10,16
52199,2019,Mavra,Maymond,1956,8,27
52700,2019,Rozalin,Heatherington,1963,5,18
52823,2020,Hilary,Willder,1953,1,2
51107,2019,Lyssa,Cotesford,1974,11,15
52346,2017,Hedvige,Revill,1987,6,11
50081,2018,Shelden,Overbury,1997,6,26
51086,2015,Ralph,Ewen,1984,5,10
51074,2018,Astrid,Dragonette,2004,6,6
52769,2018,Thornie,Furphy,1977,9,21
50150,2019,Norman,Skokoe,1969,4,22
51635,2020,Fabian,Dunsire,1951,9,9
50270,2020,Hermia,Temby,1976,1,22
51854,2019,Gill,Sidgwick,1987,6,27
51275,2021,Annnora,Cloughton,1995,7,13
52412,2015,Berna,Albany,1968,10,21
51812,2018,Seward,Instrell,1963,3,9
50123,2021,Chastity,Stove,1983,1,15
50960,2016,Allie,Dies,1989,1,25
51821,2019,Richmond,Atherley,1963,10,13
51335,2016,Kellia,Masters,1952,7,19
50447,2021,Elisha,Riha,1981,5,14
50318,2015,Llewellyn,Jewitt,2002,2,5
50135,2018,Paolina,Maclean,1972,6,12
50033,2016,Bronson,Kobpal,1970,2,25
50873,2017,Irina,Lagadu,1997,9,7
51860,2019,Bogey,Crucetti,1981,1,24
51722,2020,Tome,Stroton,1955,11,2
50939,2019,Boyd,Lindro,1954,3,8
50708,2021,Tuckie,Galbraith,1970,8,3
52103,2020,Vivia,Sapir,1985,11,16
50165,2019,Gerda,Manklow,1995,4,28
52205,2021,Jeniece,Assandri,1965,12,4
50855,2019,Lynnelle,Pinnington,1976,8,4
52316,2019,Lily,Boniface,1969,11,10
52175,2020,Mireille,Baigrie,1970,3,13
50024,2016,Jenny,Sowersby,2005,6,27
50192,2015,Stepha,Domek,1959,9,3
52721,2020,Stefan,Weatherburn,1987,1,24
51308,2020,Kalil,Pryke,1981,7,28
50054,2018,Corinna,Gommey,1973,12,22
50027,2020,Elke,Kerkham,1995,9,15
51332,2016,Roi,Lacasa,2000,12,19
51626,2015,Bail,Casewell,1950,12,13
52460,2020,Bentlee,D'Antonio,1980,5,15
51641,2016,Teddie,Illston,2001,2,7
50582,2018,Maxy,Tunmore,1963,5,14
50387,2017,Jonas,Lindell,2004,1,15
50486,2016,Perry,Latliff,1997,8,8
51746,2015,Lynna,Dorracott,1980,3,11
51983,2015,Jeanie,Willshear,1998,7,14
51080,2021,Bryant,O'Kennavain,1956,12,25
52655,2016,Shea,Ropkes,1977,2,13
51998,2020,Theodore,Fogel,1984,12,18
52739,2016,Kerry,Aked,1954,4,7
50051,2021,Pammie,Sandy,1950,11,2
51830,2020,Lacey,Saville,1981,10,13
52499,2016,Kipp,Giron,1951,12,2
51545,2020,Cari,Raylton,1972,8,11
52877,2018,Dorotea,Cawley,1958,7,10
50717,2017,Chelsae,Longden,1951,4,23
50144,2018,Chrystal,Danzelman,1991,4,11
51200,2019,Germain,Klees,1989,6,22
50273,2019,Lyndsie,Rainy,1971,6,2
50252,2021,Purcell,Penrice,1984,10,14
51884,2016,Neilla,Pratley,1996,11,16
51185,2018,Godart,Altoft,1951,2,20
50891,2015,Emanuel,Kelshaw,1960,8,2
50126,2017,Joanna,Derell,1995,6,23
51878,2019,Hyatt,Found,1967,5,19
50492,2017,Chiarra,Ballefant,1957,3,21
52694,2017,Deva,Jull,1971,3,3
51245,2016,Tabatha,Skipsea,1961,9,21
51041,2021,Brooks,Mapholm,1958,11,25
51728,2016,Elfrieda,Syder,1973,10,23
50231,2020,Ashbey,Gundry,1973,8,21
50537,2017,Gertruda,Pickerin,2002,10,9
52610,2020,Vilma,O'Caherny,1959,11,14
50453,2019,Ali,Muschette,1997,2,20
51623,2017,Gus,Dunsmore,1998,10,15
50075,2018,Muffin,Jozefiak,1992,5,2
50429,2019,Bernette,Cristoferi,1977,9,8
52004,2021,Cecil,Butteris,1969,6,13
52244,2015,Claus,Bayne,1959,9,25
51044,2019,Esra,Tolson,2005,5,9
50201,2018,Blanch,Fernehough,1960,9,7
52115,2018,Phedra,Ipsly,1981,12,12
52604,2017,Mirabelle,Pabelik,1995,11,3
51839,2015,Lamar,Guisler,1981,6,22
52781,2015,Bonny,Job,1991,10,22
51956,2020,Cam,Forbear,1999,6,2
52850,2016,Marsha,Smeath,1960,9,2
51965,2021,Aimil,Crutchfield,1964,5,5
51500,2015,Gabriele,Chesterton,1966,5,4
50129,2020,Joceline,Portis,1975,6,5
51833,2021,Tirrell,Shitliff,1960,10,4
52622,2017,Ailbert,Blythe,1962,4,20
52802,2016,Siffre,Sivorn,1956,10,22
51671,2016,Tallie,Merle,1967,5,16
52262,2021,Marjy,Covotto,1966,3,27
51065,2021,Keenan,Philipsohn,1955,8,9
50705,2019,Netty,Sictornes,1973,5,12
50858,2019,Jess,Sanney,1979,10,13
50204,2016,Jody,Buxy,1989,6,24
51803,2016,Candida,Kimm,1988,3,24
52940,2015,Bambi,Stopper,1965,12,10
51368,2016,Andy,Stare,1980,11,26
52178,2021,Freddie,Mosdell,1963,5,13
51650,2018,Tammara,Glede,2004,3,8
50624,2016,Rafaela,Buncom,1966,2,28
52490,2020,Lynne,Sowrey,1998,9,24
51572,2018,Siusan,Chappelow,1953,10,6
50867,2021,Abba,Maggs,1978,7,24
51266,2017,Richart,Dmiterko,1970,12,1
50639,2021,Orelee,Bettles,2001,2,17
50903,2020,Darb,Vicar,1978,4,16
52661,2017,Gusella,Muscat,2005,1,19
52994,2019,Sharleen,Dudbridge,1969,4,15
52334,2020,Urban,Silcocks,1974,2,14
51989,2015,Tonye,Coe,1971,12,20
51917,2019,Lainey,Amesbury,1978,2,8
52367,2020,Wilmar,Donaway,1994,5,13
51680,2015,Hedda,Crusham,1994,7,8
51017,2016,Violante,Ruoss,1962,9,26
52223,2015,Truman,Pettersen,1976,2,16
52379,2021,Susan,Veldman,1986,4,23
50228,2018,Madelle,Nuss,1957,11,27
52709,2018,Geoffrey,Orthmann,1962,1,16
52799,2015,Inessa,Deeks,2001,6,17
52892,2016,Bron,Blucher,1950,12,9
50888,2018,Sherwood,Janca,2005,9,5
52361,2020,Vina,Kroger,1988,6,8
51536,2021,Dru,Scase,1969,4,16
51377,2019,Muffin,Picott,1994,7,6
50570,2019,Sutton,Phillps,1982,5,6
50738,2018,Tiffanie,Iannuzzelli,1970,8,6
51386,2021,Kinny,Garbutt,1965,9,24
51761,2016,Verile,Brisseau,1986,8,5
51524,2018,Chancey,Tolan,1987,3,19
51029,2016,Corny,Timbs,1988,4,3
52259,2019,Dominic,Dearth,1997,11,3
51740,2015,Jinny,Rivalant,1967,4,21
52511,2018,Sigismund,Bethune,1997,1,7
51194,2017,Wiley,Challender,1986,11,10
52790,2017,Pru,Bonifazio,1997,2,26
51872,2015,Michel,Goodhew,1994,10,2
50501,2017,Ernestine,Vlasin,2003,5,1
52337,2020,Ailene,Hogbourne,1999,9,6
51908,2021,Waverly,Kupker,1973,8,6
51062,2016,Bronny,Petrik,1954,6,17
50561,2019,Carine,Edinboro,2005,12,23
51197,2018,Laney,Billett,1994,5,2
52022,2016,Wendy,Jurewicz,1972,9,8
50837,2017,Alix,Goodlake,1971,10,15
51302,2019,Sharla,Walkington,1987,4,4
51725,2020,Ole,Gollard,1972,2,18
51512,2020,Daffie,Jeppe,1974,5,18
52922,2015,Alaric,Iacomo,1957,6,15
52025,2018,Jourdan,Allridge,1962,5,20
50945,2018,Jacquenette,McCrone,1992,11,2
51935,2018,Forester,Vieyra,1986,4,5
51227,2021,Dimitry,Ricart,1974,11,23
51557,2019,Cyb,Larcher,1995,12,25
51161,2015,Vita,Vitler,1956,10,7
51896,2020,Joelly,Du Plantier,1999,12,1
52166,2018,Conchita,Pfeifer,1971,12,5
51035,2018,Lorettalorna,Stockney,1969,10,11
51443,2020,Boris,Rowthorne,1974,4,5
51176,2021,Krispin,Howbrook,1999,12,4
52760,2018,Ruthie,Vonderdell,1984,6,25
52643,2018,Maddy,McIlvaney,1958,5,20
50174,2020,Teodoro,Conkay,1952,5,28
52898,2017,Torie,Piquard,1987,8,21
51977,2016,Katrina,Bendall,1983,9,12
52778,2021,Oona,Swatridge,1986,12,2
50786,2018,Roanne,Prevett,1969,2,1
52787,2016,Yasmeen,Tenny,1985,4,10
50747,2017,Alexandro,Seedull,1958,10,12
50879,2020,Melva,Sabate,1997,7,18
51845,2015,Judon,Labbati,1975,1,21
50900,2020,Geoffry,Chellenham,1992,10,16
52226,2019,Sarajane,Lopes,1977,11,18
51569,2016,Hartley,Rodie,1976,1,1
52559,2019,Gabbie,Ipgrave,1981,11,26
52355,2016,Alfy,Crilly,1992,9,14
50267,2019,Humphrey,Beldan,1956,7,4
52112,2015,Stacie,Dabrowski,1986,7,2
50069,2018,Donia,Caddies,1954,9,16
50315,2021,Marie,O'Spellissey,1997,1,3
51815,2016,Davy,Arling,2003,11,12
50852,2020,Chrissie,Twitchings,1968,6,4
50942,2015,Brianne,Potkin,1982,5,12
52055,2019,Henrie,Hembling,1988,12,17
51947,2017,Erik,Rival,1988,1,16
50474,2019,Dottie,Pardal,1956,5,7
50153,2021,Reiko,Gorries,1952,2,1
50003,2017,Isac,Janeway,2003,9,2
51113,2019,Mirabel,Sommerly,1981,8,11
52040,2019,Consuela,Hearne,1991,11,5
52667,2017,Chane,Griffith,1961,1,1
51218,2016,Farris,McGlynn,1999,1,19
51458,2019,Charissa,De L'Isle,1951,4,24
52097,2020,Krishnah,Chastand,1954,6,16
52691,2021,Melicent,Falck,1968,10,16
51071,2019,Briney,Schimon,2001,5,15
50327,2016,Ric,Nattriss,1983,9,7
52805,2016,Rikki,Kenderdine,1988,7,23
51629,2020,Chaim,Davers,1986,1,1
50963,2019,Ty,Lunnon,1985,9,5
51710,2020,Natty,Dunkerton,1982,6,27
50996,2016,Devin,Brockherst,1976,11,27
52487,2021,Anetta,Attewell,1968,6,12
50750,2017,Kristy,Dondon,2001,7,1
52871,2018,Solomon,Streeting,1975,11,20
50291,2020,Cordie,Verlinden,2001,4,21
52847,2020,Flynn,Goulstone,1955,5,22
51464,2021,Ilyssa,Cheater,1980,1,7
51662,2018,Jorry,Jeandeau,1988,11,5
52376,2016,Ginelle,Rubbens,2005,9,12
51380,2015,Juditha,Jouhandeau,1958,6,26
50825,2018,Read,Shippard,1956,11,19
52349,2020,Ofella,Bartalot,1955,8,21
50294,2015,Hatti,Cossins,2001,4,17
50663,2017,Karel,Fruin,1950,4,22
51053,2019,Merry,Kopf,1978,10,5
52907,2015,Lucky,Wyd,1965,3,8
50519,2021,Kailey,Avison,1984,1,11
51923,2020,Valida,Jankowski,1999,5,21
51020,2017,Pierre,Wagstaffe,1959,4,26
51401,2016,Ximenez,Kynvin,1951,10,2
52589,2016,Julia,Rohloff,1989,5,27
50063,2021,Viva,Tebbutt,1965,7,27
50573,2021,Elwyn,Buswell,1978,1,26
51704,2021,Darryl,Gosnall,1994,2,4
50780,2016,Eirena,Behning,1984,6,23
51257,2016,Shela,Moloney,1971,2,21
52970,2017,Flin,Brent,1995,2,23
50390,2016,Tim,Whetson,2002,11,23
51638,2015,Laurie,Wield,1962,11,22
52148,2021,Joice,Dury,1977,12,5
51698,2018,Alane,Cobbled,1983,9,22
50297,2019,Hatti,Berthouloume,1951,4,27
52478,2018,Gearalt,Poyser,1987,9,7
50636,2018,Renard,Tynemouth,1975,8,22
52607,2020,Cos,Leidecker,1953,7,2
51986,2018,Cathie,Skeleton,1998,8,14
51551,2017,Valentino,Byatt,1968,7,22
52718,2017,Odetta,Jorry,1980,10,13
51224,2015,Garrott,Infantino,2005,8,2
51548,2017,Allistir,Patmore,1989,9,6
51599,2015,Arney,Langeley,1986,1,8
52652,2016,Kalinda,Trowsdall,1971,7,3
51248,2015,Yolanda,Baxendale,2003,10,11
52754,2015,Ogden,Sinfield,2000,8,28
50207,2017,Leese,Hoodlass,1954,11,28
52094,2021,Deeann,Hanratty,1979,11,19
52835,2020,Ros,Overstreet,2002,11,10
51632,2021,Carmela,Farge,1981,5,18
51422,2017,Sigismund,Perillio,1969,7,14
52814,2021,Ophelia,Reeders,1966,11,16
52544,2021,Ilysa,Dishmon,1967,2,25
50531,2017,Levin,Hyder,1995,1,13
52037,2020,Pollyanna,Gedling,1999,8,12
50699,2018,Burgess,Long,1967,1,16
52466,2018,Rudy,Manford,1966,12,9
50861,2015,Dorothy,Mannock,1960,4,12
51800,2019,Bertie,Iozefovich,1992,1,8
52385,2018,Renee,Dudny,1962,10,1
51554,2015,Corena,Bartomieu,1961,4,24
51560,2019,Yvor,Aberdein,1969,9,26
51404,2015,Barton,Underdown,1967,2,3
50306,2015,Gregory,Ligerton,1951,12,8
51590,2018,Gael,McGrory,1973,6,16
50909,2020,Aristotle,Hucker,1953,7,18
51389,2017,Orelie,Larwell,1961,11,1
51089,2015,Tina,Village,1980,11,15
51734,2018,Fanya,O'Leahy,1967,11,14
50312,2016,Mathilde,Wherrett,1951,4,18
52370,2020,Kalina,Muncer,1971,7,19
52571,2020,Conney,MacGuffog,1972,9,18
50540,2016,Regine,Shortan,1959,8,20
50240,2018,Odele,Balsillie,1981,12,5
52583,2019,Clayborne,Cadd,1968,10,7
50243,2018,Jacki,Willison,2000,9,2
52202,2018,Benny,Colthard,1980,3,19
52340,2021,Arlyn,Bourner,1955,6,9
50948,2018,Willem,Piddletown,1957,12,23
52451,2018,Jessalin,Maudling,2004,9,25
51311,2016,Madalyn,Billitteri,1991,6,27
52415,2021,Cecilius,Zucker,1985,8,17
52928,2018,Maxwell,Kingcote,1950,8,5
50819,2018,Dinah,Doche,1973,3,20
50726,2018,Candi,Rankling,1999,4,15
50414,2021,Kari,Swalwel,1968,2,10
50255,2019,Aleda,Symms,1984,7,21
50264,2015,Gerardo,Outerbridge,1989,11,9
51431,2016,Abner,Denerley,1996,11,14
51437,2017,Vernon,Tremlett,1989,4,16
50993,2019,Clay,Kolodziej,1962,2,23
52217,2015,Shandee,Olivetta,1962,8,27
51758,2016,Darda,Pactat,1952,10,23
52196,2015,Eva,Scriven,1987,8,26
50147,2021,Martina,Colbert,1970,4,19
50954,2016,Gelya,West-Frimley,1991,7,14
51890,2016,Stevena,Simm,2001,2,10
50957,2021,Hilliary,Jekyll,1974,7,16
52211,2016,Honey,McLagain,1973,1,24
52292,2019,Emilie,Sarfati,2003,10,18
52427,2020,Evangelin,Coggon,1970,7,27
51563,2020,Merilyn,Drysdall,1961,1,4
51683,2016,Ethelda,Sculley,1956,3,1
52988,2021,Gregorius,Glaum,1971,2,27
99999,2019,Tony,Ferguson,1985,12,19
